"","Site","Host","N","mean","sd","se","ci","Variable"
"1","mixed","Juniperus",3,5.7,0.180277563773199,0.104083299973307,0.44783429475148,"pH"
"2","mixed","Quercus",3,6.33333333333333,0.284312035153867,0.164147630029935,0.706270248430206,"pH"
"3","native","Quercus",3,6.3,0.264575131106459,0.152752523165195,0.657241060772843,"pH"
"4","perturbated","Juniperus",3,6.5,0.6,0.346410161513775,1.4904826270502,"pH"
"5","mixed","Juniperus",3,3.21333333333333,0.285014619508076,0.164553267295966,0.708015564720183,"Pdis"
"6","mixed","Quercus",3,5.13666666666667,1.30170401141478,0.75153916139554,3.23361202429214,"Pdis"
"7","native","Quercus",3,14.6866666666667,9.37529377317497,5.41282838367439,23.289520820682,"Pdis"
"8","perturbated","Juniperus",3,2.64666666666667,1.07518990570658,0.620761181489665,2.67091979205901,"Pdis"
"9","mixed","Juniperus",3,9.74333333333333,3.69359355280644,2.13249723198987,9.17539503640437,"Ca"
"10","mixed","Quercus",3,15.9766666666667,2.21633330826691,1.27960063214183,5.50567715287419,"Ca"
"11","native","Quercus",3,16.1933333333333,3.56556213426906,2.05857825803258,8.85734736132676,"Ca"
"12","perturbated","Juniperus",3,10.6366666666667,3.20325355433087,1.84939930187555,7.95732295461159,"Ca"
"13","mixed","Juniperus",3,4.37666666666667,0.983327683599589,0.567724502827834,2.44272138183784,"Mg"
"14","mixed","Quercus",3,6.21,0.17578395831247,0.101488915650922,0.436671559964754,"Mg"
"15","native","Quercus",3,6.43666666666667,0.452364160089339,0.261172569599319,1.12373486952219,"Mg"
"16","perturbated","Juniperus",3,6.46666666666667,3.15867588291888,1.82366237128599,7.84658587995505,"Mg"
"17","mixed","Juniperus",3,1.13333333333333,0.305995642670502,0.176666666666667,0.760135315589072,"K"
"18","mixed","Quercus",3,1.76666666666667,0.414769012021551,0.239467000742157,1.03034334442816,"K"
"19","native","Quercus",3,2.30666666666667,0.584836159392811,0.337655314057266,1.45281355874291,"K"
"20","perturbated","Juniperus",3,1.03666666666667,0.749288551449529,0.43260194688009,1.86133594763855,"K"
"21","mixed","Juniperus",3,0.0766666666666667,0.0208166599946613,0.0120185042515466,0.0517114501254226,"Na"
"22","mixed","Quercus",3,0.0966666666666667,0.0378593889720018,0.02185812841434,0.0940479358891743,"Na"
"23","native","Quercus",3,0.0866666666666667,0.0152752523165195,0.00881917103688197,0.0379458303359676,"Na"
"24","perturbated","Juniperus",3,0.26,0.223383079036887,0.128970280814354,0.554914330802435,"Na"
"25","mixed","Juniperus",3,0.36,0.165227116418583,0.0953939201416946,0.410446910899164,"H"
"26","mixed","Quercus",3,0.166666666666667,0.0577350269189626,0.0333333333333333,0.143421757658315,"H"
"27","native","Quercus",3,0.3,0.05,0.0288675134594813,0.124206885587516,"H"
"28","perturbated","Juniperus",3,0.126666666666667,0.0251661147842358,0.0145296631451356,0.0625160947937577,"H"
"29","mixed","Juniperus",3,0.0633333333333333,0.0776745346515403,0.0448454134902457,0.192954240770549,"Al"
"30","mixed","Quercus",3,0.0333333333333333,0.0251661147842358,0.0145296631451356,0.0625160947937577,"Al"
"31","native","Quercus",3,0.0566666666666667,0.0152752523165195,0.00881917103688197,0.0379458303359676,"Al"
"32","perturbated","Juniperus",3,0.00333333333333333,0.00577350269189626,0.00333333333333333,0.0143421757658315,"Al"
"33","mixed","Juniperus",3,23.6333333333333,2.65015722804013,1.5300689890038,6.5833555122422,"SoilM"
"34","mixed","Quercus",3,23.4,5.07148893324239,2.9280255007997,12.5982769137919,"SoilM"
"35","native","Quercus",3,31.5,0.700000000000001,0.404145188432738,1.73889639822523,"SoilM"
"36","perturbated","Juniperus",3,21.1666666666667,8.40079361330424,4.85020045404769,20.8687282234404,"SoilM"
"37","mixed","Juniperus",3,21.2566666666667,2.23325621757409,1.28937107838581,5.5477159900767,"CN"
"38","mixed","Quercus",3,17.1666666666667,2.38084718815243,1.37458276497917,5.91435228600419,"CN"
"39","native","Quercus",3,13.8433333333333,1.22075113488923,0.704800996341836,3.03251393084034,"CN"
"40","perturbated","Juniperus",3,16.3333333333333,2.86763549520042,1.65563012509169,7.12360147718118,"CN"
